Year,Name,Debut film,Other notable films
1990,Meena,Oru Pudhiya Kadhai,"Avvai Shanmugi (1996), Bharathi Kannamma (1997), Rhythm (2000)"
,Aamani,Pudhiya Kaatru,"Idhuthanda Sattam (1992), Honest Raj (1994), Pudhayal (1997)"
,Easwari Rao,Kavithai Paadum Alaigal,"Raman Abdullah (1997), Virumbugiren (2002), Kaala (2018)"
,Aishwarya,Nyayangal Jeyikkattum,"Meera (1992), Ejamaan (1993), Aaru (2005)"
,Sivaranjani,Mr. Bharath,"Thalaivasal (1992), Kalaignan (1993), Vandicholai Chinraasu (1994)"
1991,Mohini,Eeramana Rojave,"Naan Pesa Ninaipathellam (1993), Vanaja Girija (1994), Thayagam (1996)"
,Sukanya,Pudhu Nellu Pudhu Naathu,"Walter Vetrivel (1993), Vandicholai Chinraasu (1994), Indian (1996)"
,Kasthuri,Aatha Un Koyilile,"Amaidhi Padai (1994), Indian (1996), Kaadhal Kavidhai (1998)"
,Madhoo,Azhagan,"Roja (1991), Gentleman (1993), Mr. Romeo (1996)"
,Heera Rajagopal,Idhayam,"Nee Pathi Naan Pathi (1991), Thiruda Thiruda (1993), Kadhal Kottai (1996)"
1992,Roja,Chembaruthi,"Indhu (1994), Veera (1994), Unnidathil Ennai Koduthen (1998)"
,Ranjitha,Nadodi Thendral,"Walter Vetrivel (1993), Jai Hind (1994), Karnaa (1995)"
1993,Soundarya,Ponnumani,"Arunachalam (1997), Kaathala Kaathala (1998), Chokka Thangam (2003)"
,Sanghavi,Amaravathi,"Coimbatore Mappillai (1996), Porkkaalam (1997), Nilaave Vaa (1998)"
,Rambha,Uzhavan,"Ullathai Allitha (1996), Arunachalam (1997), Kaathala Kaathala (1998)"
1994,Nagma,Kaadhalan,"Baashha (1995), Love Birds (1996), Pistha (1997)"
,Sangita,Sarigamapadani,"Pullakuttikaran (1995), Poove Unakkaga (1996), Pongalo Pongal (1997)"
,Rajashree,Karuththamma,"Neela Kuyil (1995), Amman Kovil Vaasalile (1996), Sethu (1999)"
,Maheswari,Karuththamma,"Nesam (1997), Ullaasam (1997), Naam Iruvar Nammaku Iruvar (1998)"
1995,Manisha Koirala,Bombay,"Indian (1996), Mudhalvan (1999), Baba (2002)"
,Suvaluxmi,Aasai,"Gokulathil Seethai (1996), Love Today (1997), En Aasai Rasave (1998)"
,Devayani,Thotta Chinungi,"Kaadhal Kottai (1996), Bharathi (2000), Azhagi (2002)"
1996,Manthra,Priyam,"Love Today (1997), Periya Idathu Mappillai (1997), Rettai Jadai Vayasu (1997)"
,Tabu,Kadhal Desam,"Iruvar (2007), Kandukondain Kandukondain (2000), Snegithiye (2000)"
,Kausalya,Kaalamellam Kadhal Vaazhga,"Nerukku Ner (1997), Pooveli (1998), Vaanathaippola (2000)"
,Anju Aravind,Poove Unakkaga,"Enakkoru Magan Pirappan (1996), Arunachalam (1997), Vaanathaippola (2000)"
1997,Aishwarya Rai,Iruvar,"Jeans (1998), Kandukondain Kandukondain (2000), Raavanan (2010)"
,Simran,V. I. P.,"Vaali (1999), Vaaranam Aayiram (2008), Petta (2019)"
1998,Sangeetha,Bhagavath Singh,"Pithamagan (2003), Dhanam (2008), Manmadan Ambu (2010)"
,Vijayalakshmi,Poonthottam,"Friends (2001), Yes Madam (2003), Boss Engira Bhaskaran (2010)"
,Shalini,Kadhalukku Mariyadhai,"Amarkalam (1999), Kannukkul Nilavu (2000), Alaipayuthey (2000)"
,Isha Koppikar,Kaadhal Kavithai,"En Swasa Kaatre(1999),Nenjinile(1999),Narasimha(2001)"
,Preetha Vijayakumar,Sandhippoma,"Padayappa (1999), Suyamvaram (1999), Punnagai Desam (2002)"
1999,Laila,Kallazhagar,"Nandha (2001), Pithamagan (2003), Kanda Naal Mudhal (2005)"
,Jyothika,Vaali,"Kushi (2000), Chandramukhi (2005), Mozhi (2007)"
,Malavika,Unnai Thedi,"Rojavanam (1999), Vetri Kodi Kattu (2000), Chandramukhi (2005)"
,Mumtaz,Monisha En Monalisa,"Kushi (2000), Chocolate (2001), London (2005)"
2000,Pooja Kumar,Kadhal Rojavae,"Vishwaroopam (2013), Uttama Villain (2015), Meen Kuzhambum Mann Paanaiyum (2016)"
,Abhirami,Vaanavil,"Samudhiram (2001), Virumaandi (2004), 36 Vayadhinile (2015)"
,Sneha,Ennavale,"Virumbugiren (2002), Pirivom Santhippom (2008), Parthiban Kanavu (2003)"
2001,Reema Sen,Minnale,"Chellamae(2004),Vallavan (2006), Aayirathil Oruvan (2010)"
,Monal Naval,Paarvai Ondre Pothume,"Badri (2001), Lovely (2001), Samudhiram (2001)"
,Bhumika Chawla,Badri,"Roja Kootam (2002), Sillunu Oru Kaadhal (2006), Kolaiyuthir Kaalam (2019)"
2002,Kiran Rathod,Gemini,"Anbe Sivam (2003), Winner (2003), Aambala (2016)"
,Meera Jasmine,Run,"Aaytha Ezhuthu (2004), Kasthuri Maan (2005), Sandakozhi (2005)"
,Gajala,Ezhumalai,"Raam (2005), Em Magan (2006), Durai (2008)"
,Rathi,Solla Marandha Kadhai,"Adi Thadi(2004),Gummalam(2002),Anbe Un Vasam(2003)"
,Trisha,Mounam Pesiyadhe,"Ghilli (2004), Vinnaithaandi Varuvaayaa (2010), '96 (2018)"
,Sridevi Vijayakumar,Kadhal Virus,"Priyamaana Thozhi (2003), Thithikudhe (2003), Devathayai Kanden (2005)"
2003,Sherin,Thulluvadho Ilamai,"Whistle (2003), Urchagam (2007), Nannbenda (2015)"
,Sadha,Jayam,"Anniyan (2005), Unnale Unnale (2007), Torchlight (2018)"
,Sonia Agarwal,Kaadhal Kondein,"7G Rainbow Colony (2004), Pudhupettai (2006), Thanimai (2019)"
,Genelia D'Souza,Boys,"Sachein (2005), Santosh Subramaniam (2008), Uthamaputhiran (2010)"
,Pooja,Jay Jay,"Ullam Ketkumae (2005), Naan Kadavul (2009), Vidiyum Munn (2013)"
,Shriya Saran,Enakku 20 Unakku 18,"Mazhai (2005), Thiruvilaiyaadal Aarambam (2006), Sivaji: The Boss (2007)"
2004,Namitha,Engal Anna,"Englishkaran (2005), Naan Avanillai (2007), Billa (2007)"
,Divya Spandana,Kuththu,"Giri(2004), Varanam Aayiram (2008), Singam Puli (2010)"
,Priyamani,Kangalal Kaidhu Sei,"Paruthiveeran (2007), Malaikottai (2007), Ninaithale Inikkum (2009)"
,Madhumitha,Kudaikul Mazhai,"Englishkaran (2005), Arai En 305-il Kadavul (2008), Yogi (2009)"
,Gopika,Autograph,"Kana Kandaen (2005), Ponniyin Selvan (2005), Em Magan (2006)"
,Sandhya,Kaadhal,"Dishyum (2006), Vallavan (2006), Kannamoochi Yenada (2007)"
,Asin,M. Kumaran S/O Mahalakshmi,"Ghajini (2005), Pokkiri (2007), Dasavathaaram (2008), Kaavalan (2011)"
2005,Nayanthara,Ayya,"Raja Rani (2013), Naanum Rowdy Dhaan (2015), Aramm (2017),"
,Nila,Anbe Aaruyire,"Jambhavan(2006),Marudhamalai(2007),Lee(2007)"
,Raai Laxmi,Karka Kasadara,"Dhaam Dhoom (2008), Vaamanan (2009), Mankatha (2011)"
2006,Bhavana,Chithiram Pesuthadi,"Veyil (2006), Deepavali (2007), Jayamkondaan (2008)"
,Vedhika,Madrasi,"Kaalai(2008), Paradesi(2013),Kaviya Thalaivan(2014)"
,Tamannaah,Kedi,"Ayan (2009), Paiyaa (2010), Dharma Durai (2016)"
,Anushka Shetty,Rendu,"Vettaikkaran (2009), Deiva Thirumagal (2010), Irandaam Ulagam (2013)"
,Regina Cassandra,Azhagiya Asura,"Kedi Billa Killadi Ranga (2013), Rajathandhiram (2015), Maanagaram (2017)"
2007,Andrea Jeremiah,Pachaikili Muthucharam,"Aayirathil Oruvan (2010), Vishwaroopam (2013), Taramani (2017)"
,Anjali,Kattradhu Thamizh,"Angadi Theru (2010), Engaeyum Eppothum (2011), Kalakalappu (2012)"
,Aditi Rao Hydari,Sringaram,"Kaatru Veliyidai (2017), Psycho (2020), Hey Sinamika (2022)"
,Mumtaj,Monisha En Monalisa,"Kushi (2000), Ezhumalai (2002), London (2005), Jerry (2006), Veerasamy (2007)"
2008,Kajal Aggarwal,Pazhani,"Maattrraan (2012), Thuppakki (2012), Vivegam (2017)"
,Swathi,Subramaniapuram,"Kanimozhi (2010), Poraali (2011), Idharkuthane Aasaipattai Balakumara (2013)"
,Piaa Bajpai,Poi Solla Porom,"Aegan (2008), Goa (2010), Bale Pandiya (2010)"
,Sunaina,Kadhalil Vizhunthen,"Neerparavai (2012), Kaali (2018), Enai Noki Paayum Thota (2019)"
,Parvathy,Poo,"Chennaiyil Oru Naal (2013), Maryan (2013), Uttama Villain (2015)"
,Poonam Bajwa,Seval,"Kacheri Arambam Drohi (2010), Thambikottai (2011)"
2009,Priya Anand,Vaamanan,"Ethir Neechal (2013), Vanakkam Chennai(2013), Arima Nambi(2014)"
,Anuya Bhagvath,Siva Manasula Sakthi,"Madurai Sambavam (2009), Nagaram Marupakkam (2010), Naan (2012)"
,Bindu Madhavi,Pokkisham,"Veppam (2011), Kedi Billa Killadi Ranga (2013), Desingu Raja (2013)"
,Dhansika,Peranmai,"Maanja Velu (2010), Paradesi (2013), Vizhithiru (2017)"
2010,Amala Paul,Veerasekaran,"Mynaa (2010), Kadhalil Sodhappuvadhu Yeppadi (2012), Aadai (2019)"
,Shruthi Ramakrishnan,Sivappu Mazhai,"Aanmai Thavarael (2011), 144 (2015), Narathan (2016)"
,Aishwarya Rajesh,Neethana Avan,"Kaaka Muttai (2015), Dharma Durai (2016), Kanaa (2018)"
,Samantha,Vinnaithaandi Varuvaayaa,"Neethaane En Ponvasantham (2012), Kaththi (2014), U Turn (2018)"
,Vani Bhojan,Orr Eravuu,"Oh My Kadavule (2020), Malaysia to Amnesia (2021), Raame Aandalum Raavane Aandalum (2021),"
,Oviya,Kalavani,"Kalakalappu (2012), Yaamirukka Bayamey (2014), 90ML (2019)"
,Vidya Pradeep,Aval Peyar Thamizharasi,"Saivam (2014), Pasanga 2 (2015), Thadam (2019)"
,Chandini Tamilarasan,Siddhu +2,"Naan Rajavaga Pogiren (2013),Vil Ambu (2016),Ennodu Vilayadu (2017)"
,Srushti Dange,Kadhalagi,"Vil Ambu (2016), Dharma Durai (2016), Mupparimanam (2017)"
2011,Taapsee Pannu,Aadukalam,"Vandhaan Vendraan (2011), Arrambam (2013), Kanchana 2 (2015)"
,Hansika Motwani,Mappillai,"Engeyum Kadhal (2011), Oru Kal Oru Kannadi (2012), Maan Karate (2014)"
,Shruti Haasan,7aum Arivu,"3 (2012), Puli (2015), Vedalam (2015)"
,Nithya Menen,Nootrenbadhu,"O Kadhal Kanmani (2015), Mersal (2017), Thiruchitrambalam (2022)"
,Rakul Preet Singh,Yuvan,"Yennamo Yedho (2014), Theeran Adhigaaram Ondru (2017), NGK (2019)"
,Janani,Avan Ivan,"Thegidi (2014), Adhe Kangal (2017), Balloon (2017)"
,Pranitha Subhash,Udhayan,"Saguni (2012), Massu Engira Masilamani (2015), Enakku Vaaitha Adimaigal (2017)"
2012,Radhika Apte,Dhoni,"All in All Azhagu Raja (2013), Vetri Selvan (2014), Kabali (2016)"
,Nandita Swetha,Attakathi,"Ethir Neechal (2013), Idharkuthane Aasaipattai Balakumara (2013), Mundaasupatti (2014)"
,Gayathrie,18 Vayasu,"Naduvula Konjam Pakkatha Kaanom (2012), Rummy (2014), Seethakaathi (2018)"
,Iswarya Menon,Kadhalil Sodhappuvadhu Yeppadi,"Theeya Velai Seiyyanum Kumaru (2013), Tamizh Padam 2 (2018), Naan Sirithal (2020)"
,Lakshmi Menon,Sundarapandian,"Kumki (2012), Vedalam (2015), Miruthan (2016)"
,Varalaxmi Sarathkumar,Podaa Podi,"Vikram Vedha (2017), Sandakozhi 2 (2018), Sarkar (2018)"
,Mahima Nambiar,Saattai,"Kuttram 23 (2017), Kodiveeran (2017), Iravukku Aayiram Kangal (2018)"
2013,Nazriya Nazim,Neram,"Raja Rani (2013), Vaayai Moodi Pesavum (2014), Thirumanam Enum Nikkah (2015)"
,Sri Divya,Varuthapadatha Valibar Sangam,"Jeeva (2014), Vellaikaara Durai (2014), Kaaki Sattai (2015)"
,Riythvika,Paradesi,"Madras (2014), Kabali (2016), Irandam Ulagaporin Kadaisi Gundu (2019)"
2014,Catherine Tresa,Madras,"Kathakali (2016), Kanithan (2016), Kadamban (2017), Aruvam(2019)"
,Ashna Zaveri,Vallavanukku Pullum Aayudham,"Inimey Ippadithan (2015), Meen Kuzhambum Mann Paanaiyum (2016), Nagesh Thiraiyarangam (2018)"
,Miya,Amara Kaaviyam,"Indru Netru Naalai (2015), Vetrivel (2016), Oru Naal Koothu (2016)"
,Anandhi,Poriyaalan,"Kayal (2014), Pariyerum Perumal (2018), Irandam Ulagaporin Kadaisi Gundu (2019)"
2015,Nikki Galrani,Darling,"Yagavarayinum Naa Kaakka (2015), Ko 2 (2016), Velainu Vandhutta Vellaikaaran (2016)"
,Keerthy Suresh,Idhu Enna Maayam,"Rajinimurugan (2016), Thaanaa Serndha Koottam (2018), Sarkar (2018)"
,Varsha Bollamma,Sathuran,"'96 (2018), Bigil (2019), 13aam Number Veedu (2020)"
,Ramya Pandian,Dummy Tappasu,"Joker (2016 film) (2016), Aan Devathai (2018), Raame Aandalum Raavane Aandalum (2021)"
2016,Nikhila Vimal,Vetrivel,"Kidaari (2016), Panjumittai (2018), Thambi (2019)"
,Nivetha Pethuraj,Oru Naal Koothu,"Podhuvaga En Manasu Thangam (2017), Tik Tik Tik (2018), Thimiru Pudichavan (2018)"
,Manjima Mohan,Achcham Yenbadhu Madamaiyada,"Sathriyan (2017), Tughlaq Durbar (2021), FIR (2022)"
,Sheela Rajkumar,Aarathu Sinam,"To Let (2017), Draupathi (2020), Mandela (2021)"
,Ritika Singh,Irudhi Suttru,"Aandavan Kattalai (2016), Shivalinga (2017), Oh My Kadavule (2020)"
,Madonna Sebastian,Kadhalum Kadandhu Pogum,"Kavan (2017), Pa Paandi (2017), Junga (2018)"
2017,Shraddha Srinath,Kaatru Veliyidai,"Vikram Vedha (2017), Nerkonda Paarvai (2019), Maara (2021)"
,Sayyeshaa,Vanamagan,"Kadaikutty Singam (2018), Kaappaan (2019), Teddy (2021)"
,Aparna Balamurali,8 Thottakkal,"Sarvam Thaala Mayam (2019), Soorarai Pottru (2020), Theethum Nandrum (2021)"
,Priya Bhavani Shankar,Meyaadha Maan,"Kadaikutty Singam (2018), Monster (2019), Thiruchitrambalam (2022)"
,Athulya Ravi,Kadhal Kan Kattudhe,"Capmaari (2019), Naadodigal 2 (2020), Murungakkai Chips (2021)"
,Indhuja Ravichandran,Meyaadha Maan,"Mercury (2018), Magamuni (2019), Bigil (2019)"
2018,Raashi Khanna,Imaikkaa Nodigal,"Adanga Maru (2018), Tughlaq Durbar (2021), Aranmanai 3 (2021)"
,Amritha Aiyer,Padaiveeran,"Kaali (2018), Bigil (2019), Lift (2021)"
,Reba Monica John,Jarugandi,"Bigil (2019), Dhanusu Raasi Neyargale (2019), FIR (2022)"
,Sai Pallavi,Diya,"Maari 2 (2018), NGK (2019), Paava Kadhaigal (2020)"
2019,Megha Akash,Petta,"Vantha Rajavathaan Varuven (2019), Boomerang (2019), Enai Noki Paayum Thota (2019)"
,Lijomol Jose,Sivappu Manjal Pachai,"Theethum Nandrum (2021), Jai Bhim (2021), Putham Pudhu Kaalai Vidiyaadhaa (2022)"
,Mirnalini Ravi,Super Deluxe,"Champion (2019), Enemy (2021), Jango (2021)"
,Aishwarya Lekshmi,Action,"Gargi (2022), Gatta Kusthi (2022), Captain (2022), Ponniyin Selvan: I (2022), Ponniyin Selvan: II (2023)"